MedicName,Dose 
Clotrimazole,"Antifungal, imidazole
*****************
Topical (cream, ointment or solution): Apply to affected skin areas BID × 4–8 wk
Vaginal cream (>12 yr and adult; may be used in combination with other antifungal vaginal suppository):
   1 applicator dose (5 g) of 1% cream intravaginally QHS × 7–14 days, or
   1 applicator dose of 2% cream intravaginally QHS × 3 days

Thrush:
   >3 yr–adult: Dissolve slowly (15–30 min) one troche in the mouth 5 times/24 hr × 14 days

May cause erythema, blistering, or urticaria with topical use. Liver enzyme elevation, nausea and vomiting may occur with troches. Avoid use of condoms and diaphragms with vaginal cream as latex can be weakened. Do not use troches for systemic infections.
Pregnancy code is a “B” for topical and vaginal dosage forms and “C” for troches."
Corticotropin,"Adrenocorticotropic hormone
*************************
Infantile spasms (many regimens exist):
       20–40 U/24 hr IM once daily × 6 wk or 150 U/m2/24 hr ÷ BID for 2 wk; followed by a gradual 2-wk taper of 30 U/m2/dose QAM × 3 days, followed by 15 U/m2/dose QAM × 3 days, followed by 10 U/m2/dose QAM × 3 days and 10 U/m2/dose every other morning ×6 days.

Antiinflammatory:
      ≥2 yr and adolescent: 0.8 U/kg/24 hr ÷ Q12–24 hr IM

Contraindicated in acute psychoses, CHF, Cushing’s disease, TB, peptic ulcer, ocular herpes, fungal infections, recent surgery, and sensitivity to porcine products. 
Use with caution in osteoporosis. 
Repository gel dosage form is only for IM route.
Hypersensitivity reactions may occur. 
Similar adverse effects as corticosteroids"
Cortisone Acetate,"Corticosteroid
************
Antiinflammatory/immunosuppressive:
    Child: 2.5–10 mg/kg/24 hr ÷ Q6–8 hr PO
    Adult: 25–300 mg/24 hr ÷ Q12–24 hr PO

May produce glucose intolerance, Cushing’s syndrome, edema, hypertension, adrenal suppression, cataracts, hypokalemia, skin atrophy, peptic ulcer, osteoporosis, and growth  suppression.
Pregnancy category changes to “D” if used in the first trimester."
Cromolyn,"Antiallergic agent, mast cell stabilizer
******************************
Nebulization:
      Child aged ≥2 yr and adult: 20 mg Q6–8 hr
      Exercise-induced asthma: 20 mg × 1, 10–15 min prior to and no longer than 1 hr before exercise.

Nasal:
      Child aged ≥2 yr and adult: 1 spray each nostril TID-QID; max. dose: 1 spray 6 times/24 hr.

Ophthalmic:
       Child aged >4 yr and adult: 1–2 gtts 4–6 times/24 hr

Food allergy/inflammatory bowel disease:
        2–12 yr: 100 mg PO QID; give 15–20 min AC and QHS; max. dose: 40 mg/kg/24 hr
       >12 yr and adult: 200–400 mg PO QID; give 15–20 min AC and QHS

Systemic mastocytosis (taper to lowest effective maintenance dose once desired effect is achieved):
Infant and child aged <2 yr: 20 mg/kg/24 hr ÷ QID PO; max. dose: <6 mo: 20 mg/kg/24 hr, ≥6 mo–<2 yr: 40 mg/kg/24 hr
        2–12 yr: 100 mg PO QID; give 30 min AC and QHS; max. dose: 40 mg/kg/24 hr
        >12 yr and adult: 200 mg PO QID; give 30 min AC and QHS; max. dose: 40 mg/kg/24 hr

May cause rash, cough, bronchospasm, and nasal congestion. 
May cause headache, diarrhea with oral use. 
Use with caution in patients with renal or hepatic dysfunction.
Therapeutic response often occurs within 2 wk; however, a 4- to 6-wk trial may be needed to determine maximum benefit. 
Oral concentrate can only be diluted in water. 
Nebulized solution can be mixed with albuterol nebs"
Cyclopentolate,"Anticholinergic, mydriatic agent
**************************

Ophthalmic solution: 0.5% (15 mL), 1% (2, 5, 15 mL), 2% (2, 5, 15 mL); may contain benzalkonium chloride
Administer dose approximately 40–50 min prior to examination/procedure.
Infant: Use of cyclopentolate/phenylephrine (Cyclomydril) due to lower cyclopentolate concentration and reduced risk for systemic side effects.
Child: 1 drop of 0.5%–1% solution OU, followed by repeat drop, if necessary, in 5 min. Use 2% solution for heavily pigmented iris.
Adult: 1 drop of 1% solution OU followed by another drop OU in 5 min. Use 2% solution for heavily pigmented iris.

Do not use in narrow-angle glaucoma. 
May cause a burning sensation, behavioral disturbance, tachycardia, and loss of visual accommodation. 
Psychotic reactions and behavioral disturbances have been reported in children. 
To minimize absorption, apply pressure over nasolacrimal sac for at least 2 min. 
CNS and cardiovascular side effects are common with the 2% solution in children. 
Avoid feeding infants within 4 hr of dosing to prevent potential feeding intolerance.
Onset of action: 15–60 min. 
Duration of action: 6–24 hr; complete recovery of accommodation may take several days for some patients. 
Observe patient closely for at least 30 min after dose"
Cyclopentolate With Phenylephrine,"Anticholinergic/sympathomimetic,mydriatic agent
****************************************
Ophthalmic solution: 0.2% cyclopentolate and 1% phenylephrine (2, 5 mL); contains 0.1%  benzalkonium chloride, EDTA and boric acid
Administer dose approximately 40–50 min prior to examination/procedure.
Neonate–adult: 1 drop OU Q5–10 min; max. dose: 3 drops per eye
Used to induce mydriasis. See cyclopentolate for additional remarks.
Onset of action: 15–60 min. Duration of action: 4–12 hr."
Cyclosporine,"Immunosuppressant
*****************
Neoral manufacturer recommends a 1 : 1 conversion ratio with Sandimmune. 
Because of its better absorption, lower doses of Neoral and Gengraf may be required.
Exact dosing will vary depending on transplant type.

Oral: 15 mg/kg/24 hr as a single dose given 4–12 hr pretransplantation; give same daily dose ÷ Q12–24 hr for 1–2 wk posttransplantation, then reduce by 5% per wk to 3–10 mg/kg/24 hr ÷ Q12–24 hr
IV: 5–6 mg/kg/24 hr as a single dose given 4–12 hr pretransplantation; administer over 2–6 hr; give same daily dose posttransplantation until patient able to tolerate oral form

Ophthalmic:
     ≥16 yr and adult: Instill one drop onto affected eye(s) Q12 hr.

May cause nephrotoxicity, hepatotoxicity, hypomagnesemia, hyperkalemia, hyperuricemia,hypertension, hirsutism, acne, GI symptoms, tremor, leukopenia, sinusitis, gingival hyperplasia, and headache. Encephalopathy, convulsions, lower extremity pain, vision and movement disturbances, and impaired consciousness have been reported, especially in liver transplant patients. Psoriasis patients previously treated with PUVA and, to a lesser extent, methotrexate or other immunosuppressive agents, UVB, coal tar, or radiation therapy, are at increased risk for skin malignancies when taking Neoral or Gengraf.
Opportunistic infections and activation of latent viral infections have been reported.
BK virus-associated nephropathy has been observed in renal transplant patients 
Use caution with concomitant use of other nephrotoxic drugs (e.g., amphotericin B, aminoglycosides, non-steroidal anti-inflammatory drugs, and tacrolimus).
Plasma concentrations increased with the use of boceprevir, telaprevir, fluconazole, ketoconazole, itraconazole, erythromycin, clarithromycin, voriconazole, nefazodone, diltiazem, verapamil, nicardipine, carvedilol, and corticosteroids. Plasma concentrations decreased with the use of carbamazepine, nafcillin, rifampin, oxcarbazepine, bosentin, phenobarbital, octreotide, and phenytoin. 
May increase bosentan, dabigatran, methotrexate, repaglinide, and anthracycline antibiotics (e.g., doxorubicin, mitoxantrone, daunorubicin) levels/effects/toxicity. 
Use with nifedipine may result in gingival hyperplasia. 
Cyclosporine is a substrate and inhibitor for CYP 450 3A4 and P-glycoprotein.
Children may require dosages 2–3 times higher than adults. Plasma half-life 6–24 hr.
Monitor trough levels (just prior to a dose at steady state). Steady state is generally achieved after
3–5 days of continuous dosing. Interpretation will vary based on treatment protocol and assay
methodology (RIA monoclonal vs. RIA polyclonal vs. HPLC) as well as whole blood vs. serum sample.
Additional monitoring and dosage adjustments may be necessary in renal and hepatic impairment
or when changing dosage forms.
For ophthalmic use: Remove contact lens prior to use; lens may be inserted 15 min after dose
administration. May be used with artificial tears but need to be separated by 15 min for one another"
Cyproheptadine,"Antihistamine
***********
Antihistaminic uses:
      Child: 0.25 mg/kg/24 hr or 8 mg/m2/24 hr ÷ Q8–12 hr PO or by age:
            2–6 yr: 2 mg Q8–12 hr PO; max. dose: 12 mg/24 hr
            7–14 yr: 4 mg Q8–12 hr PO; max. dose: 16 mg/24 hr
     Adult: Start with 12 mg/24 hr ÷ TID PO; dosage range: 12–32 mg/24 hr ÷ TID PO; max. dose: 0.5 mg/kg/24 hr

Migraine prophylaxis: 0.25–0.4 mg/kg/24 hr ÷ BID–TID PO up to following max. doses:
    2–6 yr: 12 mg/24 hr
    7–14 yr: 16 mg/24 hr
    Adult: 0.5 mg/kg/24 hr or 32 mg/24 hr

Appetite stimulation (see remarks):
      ≥2 yr and adolescent: 0.25 mg/kg/24 hr ÷ Q12 hr PO up to the following maximum dose by age:
      2–6 yr: 12 mg/24 hr, 7–14 yr: 16 mg/24 hr, ≥15 yr: 32 mg/24 hr.
          Alternative dosing by age:
             4–8 yr (limited data): 2 mg Q8 hr PO
             >13 yr and adult: Start with 2 mg Q6 hr PO; dose may be gradually increased to 8 mg Q6 hr over a 3 wk period.

Contraindicated in neonates, patients currently on MAO inhibitors, and patients suffering from asthma, glaucoma, or GI/GU obstruction. 
May produce anticholinergic side effects including sedation and appetite stimulation. 
Consider reducing dosage with hepatic insufficiency 
Allow 4–8 wk of continuous therapy for assessing efficacy in migraine prophylaxis. 
For use as an appetite stimulant, a dosing cycle of 3 weeks on therapy followed by 1 wk off of therapy may enhance efficacy.
"
Dantrolene,"Skeletal muscle relaxant
********************

Chronic spasticity:
    Child: (<5 yr)
        Initial: 0.5 mg/kg/dose PO BID
        Increment: Increase frequency to TID-QID at 4- to 7-day intervals, then increase doses by 0.5 mg/kg/dose
        Max. dose: 3 mg/kg/dose PO BID-QID, up to 400 mg/24 hr

Malignant hyperthermia:
    Prevention:
         PO: 4–8 mg/kg/24 hr ÷ Q6 hr × 1–2 days before surgery with last dose administered 3–4 hr prior to surgery.
         IV (see remarks for specific dosage form administration rates): 2.5 mg/kg beginning 1.25 hr before anesthesia, additional doses PRN
   Treatment (see remarks for specific dosage form administration rates): 1 mg/kg IV, repeat PRN to maximum cumulative dose of 10 mg/kg, followed by a postcrisis regimen of 4–8 mg/kg/24 hr PO ÷ Q6 hr for 1–3 days

Contraindicated in active hepatic disease. 
Monitor transaminase levels for hepatotoxicity. 
Use with caution with cardiac or pulmonary impairment. 
May cause change in sensorium, drowsiness, weakness, diarrhea, constipation, incontinence, and enuresis. 
Rare cardiovascular collapse has been reported in patients receiving concomitant verapamil.
May potentiate vecuronium-induced neuromuscular block.
Avoid unnecessary exposure of medication to sunlight. 
Avoid extravasation into tissues. 
A decrease in spasticity sufficient to allow daily function should be therapeutic goal. 
Discontinue if benefits are not evident in 45 days.

IV administration rates for malignant hyperthermia:
Dosage Form                     Prevention Use                        Treatment Use
Injectable solution            Over 1 hr                                  IV push
Injectable suspension       Over at least                          1 min IV push"
Dapsone,"Antibiotic, sulfone derivative
***********************
Pneumocystis jirovecii (formerly carinii) treatment:
         Child and adult: 2 mg/kg/24 hr PO once daily (max. dose: 100 mg/24 hr) with trimethoprim 15 mg/kg/24 hr PO ÷ TID × 21 days

Pneumocystis jirovecii (formerly carinii) prophylaxis (first episode and recurrence):
        Child ≥1 mo: 2 mg/kg/24 hr PO once daily; max. dose: 100 mg/24 hr. Alternative weekly dosing, 4 mg/kg/dose PO Q7 days; max. dose: 200 mg/dose
        Adult: 100 mg/24 hr PO ÷ once daily–BID with or without pyrimethamine 50 mg PO Q7 days and leucovorin 25 mg PO Q7 days; other combination regimens with pyrimethamine and leucovorin may be used (see http://www.aidsinfo.gov).

Toxoplasma gondii prophylaxis (prevent first episode):
     Child ≥1 mo: 2 mg/kg/24 hr (max. dose: 25 mg/24 hr) PO once daily with pyrimethamine 1 mg/kg/24 hr (max. 25 mg/dose) PO once daily and leucovorin 5 mg PO Q3 days.
     Adult: 50 mg PO once daily with pyrimethamine 50 mg PO Q7 days and leucovorin 25 mg PO Q7days; other combination regimens with pyrimethamine and leucovorin may be used (see http://www.aidsinfo.gov).

Leprosy (See www.who.int/en/ for the WHO latest recommendations, including combination regimens such as rifampin ± clofazimine):
      Child: 1–2 mg/kg/24 hr PO once daily; max. dose: 100 mg/24 hr
      Adult: 100 mg PO once daily

Acne vulgaris (topical gel, Aczone):
     ≥12 yr:
           5% gel: Apply small amount (pea size) of topical gel onto clean, acne affected areas BID.
           7.5% gel: Apply small amount (pea size) of topical gel onto clean, acne affected areas once daily 

Patients with HIV, glutathione deficiency, or G6PD deficiency may be at increased risk for developing methemoglobinemia. 
Side effects include hemolytic anemia (dose related), agranulocytosis, methemoglobinemia, aplastic anemia, nausea, vomiting, hyperbilirubinemia, headache, nephrotic syndrome, and hypersensitivity reaction (sulfone syndrome). 
Cholestatic jaundice, hepatitis, peripheral neuropathy, and suicidal intent have been reported with systemic use.
Didanosine, rifabutin, and rifampin decrease dapsone levels. 
Trimethoprim increases dapsone levels.
Pyrimethamine, nitrofurantoin, primaquine, and zidovudine increase risk for hematological side effects.
Oral suspension may not be absorbed as well as tablets.
TOPICAL USE: Dry skin, erythema, and peeling of the skin may occur. 
Use of topical gel, followed by benzoyl peroxide for acne, has resulted in temporary local discoloration (yellow/orange) of the skin and facial hair. 
Avoid use of topical gel in G6PD deficiency or congenital/idiopathic methemoglobinemia"
Darbepoetin Alfa,"Antibiotic, sulfone derivative
***********************
Anemia in chronic renal failure (see remarks):
               Receiving dialysis (initial dosage and adjust dose according to the table that follows;
                      IV route is recommended for patients on hemodialysis):
                     Infant, child, and adolescent: Start with 0.45 mCg/kg/dose IV/SC once weekly
                     Adult: Start with 0.45 mCg/kg/dose IV/SC once weekly, OR 0.75 mCg/kg/dose IV/SC once every 2 wk
              Not receiving dialysis (initial dosage; adjust dose according to the table that follows):
                   Infant, child, and adolescent: Start with 0.45 mCg/kg/dose IV/SC once weekly, OR 0.75 mCg/kg/dose IV/SC once every 2 wk
                  Adult: Start with 0.45 mCg/kg/dose IV/SC once every 4 wk
See details for dose adjustments and Conversion from epoetin alfa to darbepoetin alfa 

Contraindicated in uncontrolled hypertension and patients hypersensitive to albumin/ polysorbate 80 or epoetin alfa. Darbepoetin alfa is not intended for patients requiring acute
correction of anemia. Use with caution in seizures and liver disease. Erythema multiforme, SJS, and TEN have been reported. Evaluate serum iron, feritin, and TIBC; concurrent iron
supplementation may be necessary. Red cell aplasia and severe anemia associated with neutralizing antibodies to erythropoietin have been reported.

USE IN CHRONIC RENAL FAILURE: Higher doses may be needed for pediatric patients being switched from epoetin alfa than those for naïve patients. May cause edema, fatigue, GI disturbances, headache, blood pressure changes, fever, cardiac arrhythmia/arrest, infections and myalgia. Higher risk for mortality and serious cardiovascular events have been reported with higher targeted hemoglobin
levels (>11 g/dL). If hemoglobin levels do not increase or reach targeted levels despite appropriate dose titrations over a 12 wk period, (1) do not administer higher doses and use the lowest dose that
will maintain hemoglobin levels to avoid the need for recurrent blood transfusions; (2) evaluate and treat other causes of anemia; (3) always follow the dose adjustment instructions; and (4) discontinue
use if patient remains transfusion dependent.

USE IN CANCER: Use only for anemia due to myelosuppressive chemotherapy; not effective in reducing the need for transfusions in patients with anemia not due to chemotherapy. Shortened survival and
time to tumor progression have been reported in patients with various cancers. May cause fatigue, fever, edema, dizziness, headache, GI disturbances, arthralgia/myalgia, and rash. Use lowest dose to
avoid transfusions and do not exceed hemoglobin levels >12 g/dL; increased frequency of adverse events, including mortality and thrombotic vascular events, have been reported. Prescribers and
hospitals must enroll in and comply with the ESA APPRISE Oncology Program to prescribe and/or dispense this drug to cancer patients.

Monitor hemoglobin, BP, serum chemistries, and reticulocyte count. Increases in dose should not be made more frequently than once a mo. For IV administration, infuse over 1–3 min. "
Deferoxamine Mesylate,"Chelating agent
*************
Acute iron poisoning (if using IV route, convert to IM as soon as the patient’s clinical condition permits; see remarks):
  Child:
     IV: 15 mg/kg/hr
     IM: 50 mg/kg/dose Q6 hr
       Max. dose: 6 g/24 hr
  Adult:
     IV: 15 mg/kg/hr
     IM: 1 g × 1, then 0.5 g Q4 hr × 2; may repeat 0.5 g Q4–12 hr
      Max. dose: 6 g/24 hr
Chronic iron overload (see remarks):
    Child and adolescent:
         IV: 20–40 mg/kg/dose over 8–12 hr once daily × 5–7 days per week; usual max. dose: 40 mg/kg/24 hr (child) or 60 mg/kg/24 hr (adolescent)
         SC: 20–40 mg/kg/dose once daily as infusion over 8–12 hr; max. dose: 2 g/24 hr

Adult:
     IV: 40–50 mg/kg/dose over 8–12 hr once daily × 5–7 days per week; max. dose: 6 g/24 hr
     IM: 0.5–1 g/dose once daily; max. dose: 1 g/24 hr
     SC: 1–2 g/dose once daily as infusion over 8–24 hr

Contraindicated in severe renal disease or anuria. Not approved for use in primary hemochromatosis. May cause flushing, erythema, urticaria, hypotension, tachycardia,
diarrhea, leg cramps, fever, cataracts, hearing loss, nausea, and vomiting. Iron mobilization may be poor in children aged <3 yr. Serum creatinine elevation, acute renal failure, renal
tubular disorders, and hepatic dysfunction have been reported.
Avoid use if GFR of <10 mL/min and administer 25%–50% of usual dose if GFR is 10–50 mL/min or patient is receiving continuous renal replacement therapy (CRRT).
High doses and concomitant low ferritin levels have also been associated with growth retardation.
Growth velocity may resume to pretreatment levels by reducing the dosage. Acute respiratory distress syndrome (ARDS) has been reported following treatment with excessively high IV doses in
patients with acute iron intoxication or thalassemia. Toxicity risk has been reported with infusions of >8 mg/kg/hr for >4 days for thalassemia and with infusions of 15 mg/kg/hr for >1 day for acute
iron toxicity. Pulmonary toxicity was not seen in 193 courses.
For IV infusion, maximum rate: 15 mg/kg/hr. Infuse IV infusion over 6–12 hr for mild/moderate iron intoxication and over 24 hr for severe cases and then reassess. SC route is via a portable
controlled–infusion device and is not recommended in acute iron poisoning"
Desmopressin Acetate,"Vasopressin analog, synthetic; hemostatic agent
***************************************
Diabetes insipidus (see remarks):
     Oral:
         Child aged ≤12 yr: Start with 0.05 mg/dose BID; titrate to effect; usual dose range: 0.1–0.8 mg/24 hr.
         Child aged >12 yr and adult: Start with 0.05 mg/dose BID; titrate dose to effect; usual dose range: 0.1–1.2 mg/24 hr ÷ BID–TID.
   Intranasal (titrate dose to achieve control of excessive thirst and urination. Morning and evening doses should be adjusted separately for diurnal rhythm of water turnover):
         3 mo–12 yr: 5–30 mcg/24 hr ÷ once daily–BID
         >12 yr and adult: 10–40 mcg/24 hr ÷ once daily–TID
  IV/SC:
       <12 yr (limited data): 0.1–1 mcg/24 hr ÷ once daily–BID; start with lower dose and increase as needed.
       ≥12 yr and adult: 2–4 mcg/24 hr ÷ BID
 
Hemophilia A and von Willebrand disease:
       Intranasal: 2–4 mcg/kg/dose 2 hr before procedure
       IV: 0.2–0.4 mcg/kg/dose over 15–30 min, administered 30 min before procedure

Nocturnal enuresis (≥6 yr; see remarks):
     Oral: 0.2 mg at bedtime, titrated to a max. dose of 0.6 mg to achieve desired effect.
         Use with caution in hypertension, patients at risk for water intoxication with hyponatremia,and coronary artery disease. May cause headache, nausea, seizures, BP changes,hyponatremia, nasal congestion, abdominal cramps, and hypertension.

NOCTURNAL ENURESIS: Intranasal formulations are no longer indicated by the FDA for primary nocturnal enuresis (children are susceptible for severe hyponatremia and seizures) or in patients with a history of hyponatremia. Patients using tablets should reduce their fluid intake to prevent potential water intoxication and hyponatremia and should have their therapy interrupted during acute illnesses that may lead to fluid and/or electrolyte imbalance. Injection may be used SC or IV at approximately 10% of intranasal dose. Adjust fluid intake to decrease risk for water intoxication and monitor serum sodium.
If switching from intranasal route to IV/SC route stabilized the patient, use 10% of intranasal dose. Peak effects: 1–5 hr with intranasal route; 1.5–3 hr with IV route; and 2–7 hr with PO route"
Dexamethasone,"Corticosteroid
************
Airway edema: 0.5–2 mg/kg/24 hr IV/IM ÷ Q6 hr (begin 24 hr before extubation and continue for 4–6 doses after extubation)

Asthma exacerbation: 0.6 mg/kg/dose (max. 16 mg/dose) PO/IV/IM Q24 hr × 1 or 2 doses; use beyond 2 days increases risk for metabolic adverse effects

Croup: 0.6 mg/kg/dose PO/IV/IM × 1

Antiemetic (chemotherapy induced):
     Initial: 10 mg/m2/dose IV; max. dose: 20 mg
     Subsequent: 5 mg/m2/dose Q6 hr IV

Antiinflammatory:
    Child: 0.08–0.3 mg/kg/24 hr PO, IV, IM ÷ Q6–12 hr
    Adult: 0.75–9 mg/24 hr PO, IV, IM ÷ Q6–12 hr

Brain tumor–associated cerebral edema:
   Loading dose: 1–2 mg/kg/dose IV/IM × 1
   Maintenance: 1–1.5 mg/kg/24 hr ÷ Q4–6 hr; max. dose: 16 mg/24 hr

Ophthalmic use (child and adult):
    Solution: Instill 1–2 drops into the conjunctival sac(s) of the affected eye(s) Q1 hr during the day and Q2 hr during the night as initial therapy. When a favorable response is achieved, reduce dosage to Q3–4 hr. 
        Further dose reduction to 1 drop TID–QID may be sufficient to control symptoms.
   Suspension: Shake well before using. Instill 1–2 drops in the conjunctival sac(s) of the affected eye(s) up to 4–6 times/24 hr. For severe disease, drops may be Q1 hr, which is tapered to discontinuation as inflammation subsides. For mild disease, drops may be used ≤4–6 times/24 hr.

Not recommended for systemic therapy in the prevention or treatment of chronic lung disease in infants with very low birth weight because of increased risk for adverse events.
Dexamethasone is a substrate of CYP450 3A3/4 and P-glycoprotein. Compared with prednisone, dexamethasone has no mineralocorticoid effects with greater glucocorticoid effects. Consider use of alternative low glucocorticoid systemic steroid for patients with hyperglycemia. Contraindicated in active untreated infections and fungal, viral, and mycobacterial ocular infections.
Oral peak serum levels occur 1–2 hr and within 8 hr following IM administration. For other uses, doses based on body surface area, and dose equivalence to other steroids, .

OPHTHALMIC USE: Use ophthalmic preparation only in consultation with an ophthalmologist. Use with caution in corneal/scleral thinning and glaucoma. Consider the possibility of persistent fungal infections of the cornea after prolonged use. Ophthalmic solution/suspension may be used in otitis externa"
Dexmedetomidine,"Alpha-Adrenergic agonist, sedative
****************************

NOTE: Maintenance infusion rate dosing metric is mcg/kg/HR

ICU sedation:
    Child (limited data): 0.5–1 mcg/kg/dose IV × 1 over 10 min followed by 0.2–1 mcg/kg/hr infusion titrated to effect. Children <1 yr of age may require higher dosages.
    Adult: 1 mcg/kg/dose IV × 1 over 10 min, followed by 0.2–0.7 mcg/kg/hr infusion and titrated to effect.

Procedural sedation:
    Child (limited data):
          IV: 2 mcg/kg/dose × 1 IV followed by 1.5 mcg/kg/hr was administered to children with autism/pervasive developmental disorders for sedation for electroencephalography (EEG).
          IM: 1–4.5 mcg/kg/dose × 1 IM was administered to children for sedation for EEG. Extremely anxious, inconsolable, aggressive, and noncompliant children received doses of >2.5 mcg/kg and  calm and relatively compliant children received doses of ≤2.5 mcg/kg. A second lower repeat dose (~2 mcg/kg/dose IM) was administered because adequate sedation was not achieved after 10 min of the first dose.

Intranasal route (limited data): 1–2 mcg/kg/dose × 1 for premedication anesthesia induction.
Adult: 1 mcg/kg/dose IV × 1 over 10 min, followed by 0.6 mcg/kg/hr titrated to effect; dosage has ranged from 0.2–1 mcg/kg/hr.


Use with caution with other vasodilating or negative chronotropic agents (additive pharmacodynamic effects), hepatic impairment (decrease drug clearance; consider dose reduction), advanced heart block, hypovolemia, diabetes mellitus, chronic hypertension, and severe ventricular dysfunction. Prolonged use >24 hr may be associated with tolerance and tachyphylaxis and dose-related side effects (ARDS, respiratory failure, and agitation). Hypotension and bradycardia are common side effects; may be more pronounced in hypovolemia, diabetes, or chronic hypertension. Transient hypertension has been observed during loading doses. QT prolongation, hypernatremia, sinus arrest, and polyuria have been reported. Do not abruptly withdraw therapy as withdrawal symptoms (nausea, vomiting, and agitation) are possible; taper the
dose when discontinuing use. Use with anesthetics, sedatives, hypnotics, and opioids may lead to enhanced effects; consider dosage reduction of dexmedetomidine. Dexmedetomidine is a CYP450 2A6 substrate and a weak inhibitor of CYP450 1A2, 2C9, and 3A4. Onset of action for procedural sedation: IV or IM: 15 min, intranasal: 15–30 min. Duration of action for procedural sedation: IM: 1 hr, intranasal: 1–1.5 hr.
This drug should be administered by individuals skilled in the management of patients in the ICU and OR. Concentrated IV solution (200 mcg/2 mL) must be diluted with normal saline (NS) to a concentration of 4 mcg/mL prior to administration. See Chapter 6 for additional information"
Dexmethylphenidate,"CNS stimulant    
************
Age/Dosage Form Initial Dose
   Dosage Increase at  Weekly Intervals, if  Needed
   Daily Maximum Dose
        ≥6 YR AND ADOLESCENT
           Immediate-release tabs* 2.5 mg PO BID 2.5–5 mg/24 hr 20 mg/24 hr  (10 mg BID)
          Extended-release caps** 5 mg PO once daily 5 mg/24 hr 30 mg/24 hr
     ADULT
          Immediate-release tabs* 2.5 mg PO BID 2.5–5 mg/24 hr 20 mg/24 hr  (10 mg BID)
          Extended-release caps** 10 mg PO once daily 10 mg/24 hr 40 mg/24 hr  *BID dosing (at least 4 hr apart), **Once-daily dosing

CONVERTING FROM METHYLPHENIDATE:
      ≥6 yr and adult: Start at 50% of the total daily dose of racemic methylphenidate with the following maximum doses: Immediate-release tabs (BID dosing): 20 mg/24 hr
Extended-release caps (once-daily dosing): 30 mg/24 hr for ≥6 yr–adolescents; 40 mg/24 hr for adults.

CONVERTING FROM IMMEDIATE-RELEASE TABS (BID) TO EXTENDED-RELEASE CAPS (once daily)
DEXMETHYLPHENIDATE: Use the equivalent mg dosage amount. Dexmethylphenidate is the d-enantiomer of methylphenidate and accounts for the majority of clinical effects for methylphenidate. Contraindicated in glaucoma, anxiety disorders, motor tics, and Tourette syndrome. Do not use with monoamine oxidase (MAO) inhibitor; hypertensive crisis may occur if used within 14 days of discontinuance of MAO inhibitor.
See methylphendate for additional warnings and drug interactions. Common side effects include abdominal pain, indigestion, appetite suppression, nausea, headache, insomnia, and anxiety. Peripheral vasculopathy, including Raynaud phenomenon, and priapism have been reported. Immediate-release tablets are dosed BID (minimum 4 hr between doses), and extended-release capsules are dosed once daily. Contents of the extended-release capsule may be sprinkled on a spoonful of applesauce and consumed immediately for those who are unable to swallow capsules"
Dextroamphetamine ± Amphetamine,"CNS stimulant, amphetamine
***********************

Dosages are in terms of mg of dextroamphetamine when using dextroamphetamine alone OR in terms of mg of the total dextroamphetamine and amphetamine salts when using
Adderall. Nonextended-release dosage forms are usually given BID–TID (first dose on awakening and subsequent doses at intervals of 4–6 hr later). Extended/sustainedreleased dosage forms are usually given PO once daily, sometimes BID.

Attention deficit/hyperactivity disorder:
     3–5 yr: 2.5 mg/24 hr QAM; increase by 2.5 mg/24 hr at weekly intervals to a max. dose of 40 mg/24 hr ÷ once daily–BID (some may require TID dosing).
     ≥6 yr: 5 mg/24 hr QAM; increase by 5 mg/24 hr at weekly intervals to a max. dose of 40 mg/24 hr ÷ once daily–BID (some may require TID dosing). Max. dose of 60 mg/24 hr has been used patients >50 kg.

Narcolepsy:
       6–12 yr: 5 mg/24 hr ÷ once daily–TID; increase by 5 mg/24 hr at weekly intervals to a max. dose of 60 mg/24 hr
       >12 yr and adult: 10 mg/24 hr ÷ once daily–TID; increase by 10 mg/24 hr at weekly intervals to a max. dose of 60 mg/24 hr

Use with caution in the presence of hypertension or cardiovascular disease. Avoid use in known serious structural cardiac abnormalities, cardiomyopathy, serious heart rhythm
abnormalities, coronary artery disease, or other serious cardiac problems that may increase risk for sympathomimetic effects of amphetamines (sudden death, stroke, and MI have
been reported). Do not administer with MAO inhibitors (also within 14 days of discontinuance) or general anesthetics. Use with proton pump inhibitors (PPIs) may reduce
the effectiveness of either dextroamphetamine or the combination with amphetamine. Not recommended for <3 yr. Medication should generally not be used in children aged <5 yr as
diagnosis of ADHD in this age group is extremely difficult (use in consultation with a specialist). Interrupt administration occasionally to determine need for continued therapy. Many side effects,
including insomnia (avoid dose administration within 6 hr of bedtime), restlessness/irritability, anorexia, psychosis, visual disturbances, headache, vomiting, abdominal cramps, dry mouth, and
growth failure. Paranoia, mania, peripheral vasculopathy (including Raynaud phenomenon), priapism, bruxism, and auditory hallucination have been reported. Tolerance develops. Same
guidelines as for methylphenidate apply. See Amphetamine for amphetamine-only–containing product"
